alpha,beta_temp,beta_omega,beta_clean,sigma
0.9896484506961473,0.05616205912541198,-1.58175863803379,0.09806359447700438,0.6385214362195992
0.8268027108275139,0.056469682371547605,-1.4100559362466747,0.11328402762316846,0.638896866327129
0.8484768528327074,0.05552679666705418,-1.32573296216734,0.09352296254793573,0.6207586802413193
0.844877781696459,0.05589585914292503,-1.3749214146277993,0.08614735267062844,0.6128508919798664
0.8414882973759628,0.05693789057501604,-1.4426699842783641,0.11929172019550256,0.6449060074588694
0.8124576278516839,0.05620473005425015,-1.3830406953205276,0.10044216433117487,0.6012049151288525
0.8756734792791284,0.05761147170508133,-1.676504647648855,0.08554062667725237,0.6546349664893419
0.789650564633763,0.055718424858199195,-1.312039897811946,0.11465309623934886,0.6121895426650923
0.980215350563167,0.056580728161389364,-1.5537891987995813,0.09249191076126831,0.6396887982188134
0.6471136246908844,0.057244405712210324,-1.3272505362847795,0.12401620151904906,0.6411186958396474
0.6122331507748101,0.056827659794689456,-1.2596823983275698,0.10129906099603816,0.6029020038857384
0.8111483303390876,0.056726249921157754,-1.473491284816454,0.09356318974684454,0.637212831568014
0.7986477245953422,0.05703933828811537,-1.4901231864964757,0.09814366152964987,0.627374581388473
0.7230479610206005,0.056285211815169045,-1.1667691678878498,0.10535157635639143,0.637340219267351
0.737115388099919,0.05645750335099479,-1.2731782652397428,0.10817169780810015,0.6494220346699053
0.9354638304113745,0.05720987275471782,-1.603933866000851,0.08703484645238481,0.5940098449932456
0.7490370182835966,0.055520739481186215,-1.2071191489464184,0.11728387405368788,0.6617607044875868
0.7491240442655973,0.056100933296683815,-1.272189361042706,0.10129180903435532,0.6572481451225104
1.014176120223374,0.0569137610994514,-1.7253960634973318,0.10007478132255697,0.6301815316003838
0.9949301094112187,0.055754608768127906,-1.6023265031411853,0.10233048859068057,0.6421349192073693
0.993286514591283,0.056125316438412544,-1.5376509066703683,0.08306401877914521,0.6027288518344343
0.7563699658401174,0.05722106296009179,-1.4397043549768966,0.1175889937469157,0.6628368390443004
0.8318844321045357,0.056786261362058256,-1.4098625064043873,0.10425415172621573,0.6488079211993679
0.8462868337444112,0.05607974126647982,-1.3285066577262192,0.11581505494400131,0.6152086376512009
